model,n_obs,rmse,qlike
ewma_fwd_rvol,3265,0.07061026077313048,0.15985461093993927
garch_fwd_rvol,3265,0.08042387547892392,0.17737079525470567
ml_pred,3160,0.1197648653096629,0.33371745025512034
